Sr No,Subsidy scheme,Scheme Type,Ministry,Description,Visiting link to know more,Applicability Central/State
62,Market Promotion & Development Scheme,All,"Ministry of Micro, Small and Medium Enterprises, Govt, of India","Scheme summary/key features:
                                        The Market Promotion and Development Assistance Scheme (MPDA) has been launched as a unified scheme by merging different schemes implemented by the Khadi sector including publicity, marketing, market promotion and marketing development assistance. Further, grant/subsidy will also be available for construction of Khadi plazas. The overall objective of the scheme is to ensure increased earnings for artisans.
 Eligibility: 
                                                The Khadi institutions, having valid Khadi certificate and categorised as A+, A, B and C only are eligible to avail MMDA grant from KVIC.
Amount or percentage of subsidy:
                                                        Modified MDA (MMDA) shall be allowed @ 30% on the Prime cost of Khadi (cotton, silk, woollen) and Polyvastra

                                                            The Pattern of Assistance for strengthening of Infrastructure of Existing Weak Khadi Institutions
>
                                                                    
Total Cost (Rs.in lakh)
Component


 0.25
Preliminary and Pre-operative expenditure


3.50
Capital expenditure


6.15
Working Fund


9.90
Total




                                                                    The pattern of assistance for Marketing Infrastructure 


Total
Inst. Contr.
Govt. Grant
Funding Pattern
Component


25.00
0.00
25.00

                                                                                    Govt. Grant –
                                                                                    100%
                                                                                
Departmental Sales outlets of KVIC


25.00
3.75
21.25

                                                                                    Govt. Grant-
                                                                                    85%
                                                                                    Inst. Cont. -15%
                                                                                

                                                                                    Departmental Sales outlets of KVIC

                                                                                


25.00
6.25
18.75

                                                                                    Govt. Grant-
                                                                                    75%
                                                                                    Inst. Cont. -25%
                                                                                
Institutional sales outlets (Metro cities)


25.00
5.00
15.00

                                                                                    Govt. Grant-
                                                                                    75%
                                                                                    Inst. Cont. -25%
                                                                                
Institutional sales outlets (Non-Metro cities)",https://msme.gov.in/2-development-khadi-village-and-coir-industries,Central
65,Domestic Market Promotion (DMP),All,"Ministry of Micro, Small and Medium Enterprises, Govt, of India","Scheme summary/key features:
                                    Coir Board has been taking various measures for popularizing coir and coir products and expanding the domestic market. Establishment and maintenance of Showroom and Sales depots, participation in fairs / exhibitions organized by other agencies and organizing exclusive fairs for Coir and coir goods within the country, providing Market Development Assistance to State supported organizations for enlarging marketing network, organizing generic publicity through press, television, website and radio and erection of hoardings, fixing of quality standards, inspection and a certification of quality of coir goods are some of the measures taken by Coir Board towards achieving the objective. The activities undertaken by the Board for the purpose are publicity, participation in domestic exhibitions, Extension of performance linked Market Development Assistance, construction/renovation/interior decoration of new and existing showrooms/market development centres of the Board and field demonstration/displays.
 Eligibility: 
                                    Apex Co-operative Societies, Central Co-op. Societies, Primary Co-operative Societies, Public Sector Enterprises, franchisees appointed by Coir Board in the coir industry and the Showroom and Sales Depots / Hindustan Coir of the Coir Board.
Amount or percentage of subsidy:
                                    The component proposes to provide financial assistance to the Apex Co-operative Societies, Central Co-op. Societies, Primary Co-operative Societies, Public Sector Enterprises, franchisees appointed by Coir Board in the coir industry and the Showroom and Sales Depots / Hindustan Coir of the Coir Board. The MDA is granted at the rate of 10% of their average annual sales turnover of coir products including coir fibre, coir pith, coir pith block, coir pith products, coir pith organic manure, coir yarn, mats, matting, rubberized coir goods, coir geotextile, garden articles, coir bags, coir umbrella, coir chapel, coir ornaments, coir handicrafts, coir wood and other innovative products during the preceding three financial years, subject to the condition that 5% increase should have been achieved over the immediate previous year. This Assistance will be shared on 1:1 basis between the Central Government and the concerned State/Union Territory Government. The disbursement of Central share of MDA will be subject to the budgetary outlay available with the Coir Board under the relevant schemes.","https://msme.gov.in/2-development-khadi-village-and-coir-industries 

                                    Central",Central
68,"A Scheme for promoting Innovation, Rural Industry & Entrepreneurship (ASPIRE)",All,"Ministry of Micro, Small and Medium Enterprises, Govt, of India","Scheme summary/key features:
                                    The main objectives of the scheme are to:

                                    (i) Create new jobs and reduce unemployment (ii) Promote entrepreneurship culture in India (iii) Boost Grassroots economic development at district level (iv) Facilitate innovative business solution for un-met social needs, and (v) Promote innovation to further strengthen the competitiveness of the MSME sector. The Scheme aims to implement the Incubation and Commercialisation of Business Ideas Programme through technical / research institutes, including those in the field of agro based industry. These would be designated as Knowledge Partners and would incubate new/existing technologies for their commercialisation.

                                    The scheme also provides funds for the incubator/incubation and creates necessary synergy between this scheme and the Livelihood Business Incubators/Technology Business Incubators and Incubation schemes of MSME / NSIC / KVIC / Coir Board / Other Ministries/Departments as well as Private incubators.
 Eligibility: 
                                    •	Any entrepreneur who intends to set up start-ups.
                                    •	Any technical/university/research institutes including those in the field of rural and agro-based industry.
                                    •	All MSMEs with Entrepreneurs Memorandum Registration.
                                    •	Any institute/agency under the Government of India or any State Government in the field of technology, business management, rural development and entrepreneur development or anybody corporate under Public-Private Partnership (PPP) mode can set up Livelihood Business Incubation (LBI).
                                    •	Any existing incubation centres operating under different Ministries and Departments of Government of India and institutions which include National/Regional level institutions of Government of India or any State Government for setting up centres dedicated to incubation and enterprise creation in the area of agro-based industries.
                                    •	Any new incubation centres to be set up by eligible private institutions including industry associations along with academic institutions, universities, government entities, R&D laboratories and technology parks.
                                    Amount or percentage of subsidy:
                                    One-time grant of 100% of cost of Plant & Machinery other than the land and infrastructure, or an amount up to Rs 100 lakhs, whichever is less is to be provided In case of incubation centres to be set up under PPP mode with NSIC, KVIC or Coir Board or any other Institution/agency of GoI/State Government, one- time grant of 50% of cost of Plant & Machinery, other than the land and infrastructure, or Rs 50.00 lakhs, whichever is less is to be provided.",,Central
69,International Cooperation,All,"Ministry of Micro, Small and Medium Enterprises, Govt, of India","Scheme summary/key features:
                                    The scheme covers the following activities:

                                    a) Visit of MSME delegations to other countries in international exhibitions/ trade fairs, conferences/ summits/workshops etc. for exploring new areas of technology infusion/upgradation, joint ventures, improving market of MSMEs products, etc.

                                    b) Participation of MSME delegations in international exhibitions, trade fairs and buyer-seller meets in foreign countries.

                                    c) Holding international conferences/summits/workshops/seminars relating to MSME sector to be organized in India by the Industry Associations/ Government organizations.

                                    d) Holding/organising mega international exhibition or fair and international conferences/seminars/workshops, Joint Committee Meetings/Joint Working Group Meetings/Government to Government bilateral meetings with outer countries in India by Ministry of MSME or organizations under it.

                                    e) Sending a delegation of the Ministry of MSME to an International Exhibition/Fairs/Conference in foreign countries.
 Eligibility: 
                                    Government Institutions and Registered Industry Associations associated with promotion and development of MSME sector.
Amount or percentage of subsidy:
                                    IC Scheme provides financial assistance on reimbursement basis for airfare, space rent, freight charges, advertisement & publicity charges and entry/registration fee on reimbursement basis in case of participation in international exhibitions/trade fairs. The details can be had from scheme guidelines","https://msme.gov.in/4-marketing-promotion-schemes
https://msme.gov.in/sites/default/files/IC-Scheme-Guidelines-June-2018.pdf",Central
70,"Procurement and 
                                    Marketing Support Scheme (P&MS)",All,"Ministry of Micro, Small and Medium Enterprises, Govt, of India","Scheme summary/key features:
                                        The scheme aims at the following:
                                            • Promoting new market access initiatives like organising / participation in National/International Trade Fairs / Exhibitions / MSME Expo. Etc.
                                            • To create awareness and educate the MSMEs about importance / methods/ process of packaging in marketing, latest packaging technology, import-export policy and procedure, GeM portal, MSME Conclave, latest developments in international/national trade and other subjects / topics relevant for market access developments.
                                            • To create more awareness about trade fairs, digital advertising, e-marketing, GST, GeM portal, public procurement policy and other related topics etc.
 Eligibility: 
                                                        Manufacturing / Service sector MSEs registered at Udyog Aadhaar Memorandum (UAM) Portal
Amount or percentage of subsidy:
                                                                The scale of assistance is given in the scheme guidelines for all the following components,

                                                                    5(A) Participation of individual MSEs in domestic trade fairs/ exhibitions across the country:
                                                                        5(8) Organising Domestic Trade Fairs/Exhibition and participation in trade fairs/exhibitions by the Ministry/Office of DC (MSME)/Government organisations:
                                                                            5(C) Capacity building of MSMEs in modern packaging technique:
                                                                                5(0) Development of Marketing Haats.
                                                                                    5I Vendor Development Program (VDP):
                                                                                        5(F) International/National Workshops/Seminars: T
                                                                                            5(G) Awareness Programs:","https://msme.gov.in/4-marketing-promotion-schemes
https://msme.gov.in/sites/default/files/Guidelines_PMS.pdf",Central
79,Support for Entrepreneurial and Managerial Development of MSMEs through Incubators,All,"Ministry of MSME, Govt. of India","Scheme summary/key features:
                                    To promote & support untapped creativity of individual and
                                    To promote adoption of latest technologies in manufacturing as well as knowledge based innovative MSMEs(ventures) that seek the validation of their ideas at the proof of concept level
 Eligibility: 
                                    •	Technical colleges, Universities Colleges other professional Colleges/ Institutes, R&D institutes, NGO involved in relevant activities etc., EDCs of DC (MSME), MSME-DIs/TCs /DICs or any institute/organization of Central/State Govt. may apply to register as Host Institute.
                                    •	Students/Udyam Registered MSMEs can apply to the registered Host Institute for developing and nurturing the ideas.
Amount or percentage of subsidy:
                                    •	Up to 15 lakh per idea shall be provided to Host Institute (HI) for developing and nurturing of ideas.
                                    •	Up to Rs. 1.00 crore for procurement and installation of relevant plant and machines including hardware and software etc., in Business Incubator (BI).
                                    •	Up to Rs. 1.00 Crore as seed capital support to appropriate Incubates in the form of soft loan, interest free loan, equity participation, grant or combination of these etc.",http://www.dcmsme.gov.in/SAMACHAR/eBook%20of%20Schemes%20for%20MSMEs.pdf,Central
89,Performance & Credit Rating Scheme,All,"Ministry of MSME, Govt.of India","Scheme summary/key features:
                                    This scheme seeks to establish independent, trusted third party opinion on capabilities and credit-worthiness of MSEs, and makes credit available at attractive interest rates and will ensure better productivity. Under this scheme (as per the turnover of the MSE) a percent of Rating Agency charges is reimbursed by Ministry of SSI

 Eligibility: 
                                    MSMEs
Amount or percentage of subsidy:

                                    •	The fee to be paid to the rating agencies shall be based on the turnover of the Small-Scale Units which has been categorized into three slabs. The slabs of the Turnover and the Share of Ministry of SSI towards the fee charged by the Rating Agency is as follow:
                                    Turnover of MSE Re-imbursement of fee through NSIC:
                                    •	1. Up to Rs. 50 lakh - 75% of the fee or INR25,000 (whichever is less)
                                    •	2. Above Rs. 50 to 200 lakh - 75% of the fee or INR30,000 (whichever is less)
                                    •	3. More than Rs. 200 lakh - 75% of the fee or INR40,000 (whichever is less)",https://www.startupindia.gov.in/content/sih/en/government-schemes/performance_and_credit_rating_scheme.html,Central
90,Coir Udyami Yojana,All,"Ministry of MSME,
                                    Govt.  of India","Scheme summary/key features
                                    
                                        This is a credit linked subsidy scheme for setting up of coir units with project cost up to Rs.10 lakhs plus one cycle of working capital, which shall not exceed 25% of the project cost. Working capital will not be considered for subsidy.
                                        The scheme main objective is to facilitate sustainable development of the Coir Industry in the country and is under the ambit of Ministry of MSME.
 Eligibility: 
                                        Individuals, Companies, Self Help Groups, Non-Governmental Organizations, Institutions registered under Societies Registration Act 1860, Production Co-operative Societies, Joint Liability Groups and Charitable Trust
Amount or percentage of subsidy:
                                        •	Maximum admissible cost of the project is 10 lakhs plus working capital, which shall not exceed 25% of the project cost. The banks shall consider composite loan instead of term loan to cater to the working capital requirements also. This should be exclusive of Rs.10 lakhs limit proposed. However, subsidy will be computed excluding working capital component.
                                        •	Beneficiary’s contribution 5% of the project cost
                                        •	Bank credit Rate- 55%
                                        •	Rate of Subsidy- 40% of the project",https://www.startupindia.gov.in/content/sih/en/government-schemes/coir_udyami_yojana.html,Central
91,Assistance of Capital and Interest Subsidy for MSMEs (except service enterprise,All,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features:
                                Enterprise claiming capital investment subsidy should apply on line within one year of commercial production. Capital investment subsidy will not be available if loan is sanctioned one year after commercial production. For interest subsidy the enterprise has to apply online within one year from the date of first disbursement of loan or on or before the date of commencement of commercial production/rendering services
Eligibility:MSMEs in manufacturing sector and service sector subject to certain conditions
Amount or percentage of subsidy:



                                            Capital and Interest Subsidy to Manufacturing MSMEs
                                        

Taluka Category/Sector
Capital Subsidy
Interest Subsidy



                                            Category 1 Taluka
                                            (Backward)
                                        

At 25% of eligible Term Loan Amount up to INR 35 lakhs;
                                            Additional INR 10 lakhs for investments > 10 Crore
                                        
At 7%  of term loan amount up to INR 35 lakh p.a. for 7 years



                                            Category 2 Taluka
                                            (Developing)
                                        

At 20% of eligible Term Loan Amount up to INR 30 lakhs;
                                            Additional INR 7.5 lakhs for in investment > 10 Crore
                                        
At 6%  of term loan amount up to INR 30 lakh p.a. for 6 years



                                            Category 3 Taluka
                                            (Mature)
                                        

At 10%  of eligible Term Loan Amount up to INR 10 lakhs;
                                            Additional INR 5 lakhs for in investment > 10 Crore
                                        
At 5% of term loan amount up to INR 25 lakh p.a. for 5 years


Additional Incentives/Benefits


1% additional interest subsidy to SC/ST Entrepreneur/physical challenged entrepreneur/women entrepreneur/Start-up in manufacturing sector 
1%  additional interest subsidy to young entrepreneurs below age of 35 years
In any case, the unit will have to bear minimum 2% interest levied on term loan",https://eoibrasilia.gov.in/?pdf11603,Gujarat
93,Assistance in rent to MSEs,All,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features
                                Government of Gujarat has decided to provide financial assistance through Scheme for assistance in Rent to MSMEs for shed and plot developed by private developers for the generation of employment and development of MSMEs in the state. The government has decided to assist MSEs units in rent which will improve the initial liquidity of the project and also help the financial institution/bank to sanction the term loan on plant and machinery required for the project.
Eligibility: 
                                The New Micro and Small Enterprise registered as an industrial unit under the MSME Development Act, 2006 with respective Director of Industries Commerce (DIC) as a manufacturing enterprise and obtained term loan from the Financial Institution. For availing the grant under the Scheme for Assistance for in Rent to MSEs, the new unit has to commence production during the operative period of this Scheme.
Amount or percentage of subsidy:  The
                                Assistance at 50% of rent paid or Rs.50000/- per annum, whichever is less in Municipal Corporation area and areas under the Urban Development Authority

                                The assistance at 50% of rent paid or Rs.25000/- per annum, whichever is less except mentioned above

                                The financial assistance will be provided for three years Subject to certain Conditions.","http://ic.gujarat.gov.in/?page_id=3916
https://www.indiafilings.com/learn/scheme-for-assistance-in-rent-to-msmes/",Gujarat
94,Schemes for Assistance Labour Intensive Industries,All,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features: 
                                Under this scheme, the Government creates separate provisions for the promotion of labour-intensive industries which would lead to the development of the state.
 Eligibility:
                                Assistance will be given to New enterprise as well as to existing enterprise for one-time expansion.
                                The payroll incentive will be provided at 1200 per person and an additional amount of Rs. 300 per women employment will be provided under the scheme. In the case of project expansion, this payroll incentive will be provided only for the additional domicile employees.
                                The payroll assistance in case of project expansion will not be provided for the re-employed persons who had been relieved by the enterprise/unit within a one-year time frame before the commencement of the production of expansion.
Amount or percentage of subsidy:
                                Interest Subsidy will be provided at 7% maximum up to Rs. 1 crore per annum for the period of 5 years.
                                VAT related incentives: Only 70% of the fixed capital investment of the unit will be considered for the eligible unit that would be entitled to the reimbursement up to 1/5th of the eligible limit in a particular year.",http://ic.gujarat.gov.in/?page_id=3935,Gujarat
95,Scheme for Financial Assistance to Plastic Industry,All,"Industries Commissionerate, Government of Gujarat","Scheme summary/key features
                                Financial assistance in form of interest subsidy on loan/ tax incentives for setting up small sized new plastics industry
Eligibility:
                                Enterprises which are registered as an industrial unit as MSME with respective DIC and should be of small size
                                •	Have obtained IEM form GOI
                                •	The New Enterprises, which is engaged in manufacturing of plastic products/ items/ articles by using plastic as a raw material purchased within the state only, is eligible.
                                •	Plastic material means organic polymers of high molecular mass from petrochemicals such as Polyolefin (LLDPE, LDPE, HDPE, PP), PVC, Nylon, Polyesters, Polystyrene, Polycarbonate, Polyamide (Nylon 6, Nylon 66) etc.
Amount or percentage of subsidy
                                1. Interest subsidy for New Enterprises: -
                                Interest subsidy up to 7% of term loan Maximum limit of 100 lakh per annum, for 5 years for fixed capital investment in building, new plant & machinery, equipment (including cost of installation, erection, transportation, electrification) and other related assets required for the manufacturing of the product. However, cost of land and land development will not be eligible
                                2. VAT Related Incentive to New Enterprises: -
                                The eligible new enterprise will be reimbursed at of 80% of the net VAT paid for 5 years from date of commercial production. The VAT reimbursement amount would be 70% of eligible fixed capital investment. (excluding additional Tax and reduction of ITC as per the provision of the GVAT Act 2003) The eligible unit shall be entitled for reimbursement up to 1/5th of eligible limit in a particular year.",http://ic.gujarat.gov.in/?page_id=4051,Gujarat
96,New Enterprise Cum Enterprise Development scheme (NEEDS),All,MSME - Govt. of Tamil Nadu,"Scheme summary/key features
                                (I) Educated youth (Age limit minimum 21 years maximum 35 years for general category and 45 years for Special category (SC/ST/BC/MBC/Ex-servicemen/ Minorities/Transgenders/Differently abled persons) will be given entrepreneurship training to groom them as first-generation entrepreneurs on the essentials of conceiving, planning, initiating and launching a manufacturing or service enterprise successfully. (ii) On completion of the training program they would be assisted to prepare their business plans and helped to tie up with financial institutions to get term loan, to set up manufacturing or service enterprises with a project cost not exceeding Rs.1.00 crore and capital subsidy of 25% of project cost not exceeding Rs.25.00 lakhs with 3% interest subvention to be provided by the State Government. (iii) Subject to availability, they would also be provided with reservation up to 25% for allotment of Plots / Sheds in SIDCO Industrial Estates in the State
                                All economically viable manufacturing and service activities are eligible under this scheme subject to appraisal for its viability as per the guidelines of Tamil Nadu Industrial Investment Corporation Limited (TIIC) / Bank. Priority will be given to projects which are eco-friendly, accord importance to energy conservation and are export oriented.
 Eligibility: 
                                Educated youth with any Degree, Diploma, ITI / Vocational Training from recognized Institutions, aspiring to become entrepreneurs would be eligible for assistance under the scheme. The applicant should be a resident of Tamil Nadu for not less than 3 years
Amount or percentage of subsidy:,/br>
                                25% of the Project Cost subject to a ceiling of 25.00 lakh • 3% Back Ended Interest Subsidy for Bank Assisted Projects / 3% Interest Subvention for TIIC Assisted Projects. • However, for projects costing more than 1.00 Crore, subsidy component will be restricted to 25.00 lakh.","http://www.msmeonline.tn.gov.in/
http://tahdco.com/wp-content/uploads/2017/12/NEEDS.pdf",Tamil Nadu
97,Unemployed Youth Employment Generation Programme (UYEGP),All,MSME - Govt of Tamil Nadu,"Scheme summary/key features
                                Unemployed Youth Employment Generation Programme (UYEGP)”  aims to mitigate the unemployment problems of socially and economically weaker section of the society, particularly among the educated and unemployed to become self-employed in their native places itself and to prevent the mass migration from rural areas to urban areas due to unemployment by setting up Manufacturing / Service / Business enterprises by availing loan up to the maximum of Rs.15 Lakhs, Rs. 5.00 Lakhs and Rs. 5.00 Lakhs respectively with subsidy assistance from the State Government.
Eligibility:Any individual, above 18 years of age. Upper age limit for General category is 35 years and for Special category 45 years.
                                Minimum educational qualification is a pass in VIII standard.
                                The applicant shall be resident of the place for not less than 3 years.
                                The family income of the beneficiary shall not exceed Rs.5 Lakhs per annum.
Amount or percentage of subsidy:
                                Financial Assistance:
                                

Sl.No
Category
Project Cost
Subsidy



                                            Promotor’s
                                            Contribution
                                        
Bank Loan


1

                                            General Category
                                        
10%
90%
25%


2

                                            SC / ST/ BC / MBC/Minorities / Women / Ex-Servicemen / Physically Challenged / Transgender
                                        
5%
95%
25%",http://www.indcom.tn.gov.in/uyegp.html,Tamil Nadu
98,Mukhya Mantri Yuva Udyami Yojana,All,"Department of MSME, Madhya Pradesh","Scheme summary/key features
                                Under this scheme, loans will be provided by banks to all the citizens who want to set up their own business.
                                Under this scheme, benefit of margin money assistance, interest grant, loan guarantee and training will be provided by the government.
                                Under this scheme, a loan of at least 10 lakh rupees can be availed subject to a maximum of up to Rs.2 crore rupees to start a new business or industry.
                                15% (maximum Rs. 12 lakhs) will be payable on the margin on the project cost.
                                Guarantee fee under this scheme will be payable at the prevailing rate for a maximum period of 7 years.
                                Business activities will not be eligible under the MP Youth Entrepreneur Scheme.
Eligibility:
                                The applicant should be originally a resident of Madhya Pradesh.
                                Applicant must have passed minimum 10th standard.
                                The benefit of this scheme will be given only to those enterprises which will be set up within the border of Madhya Pradesh.
                                A person can avail this scheme only once.
                                Age should be between 18 to 40 years on the applicant's application date.
                                Youth should not be a defaulter in any nationalized bank / financial institution / co-operative bank.
                                If a person is getting assistance under any government entrepreneur / self-employment scheme, then he will not be eligible under this scheme.
 Amount or percentage of subsidy,
                                Margin money on capital cost will be at 15% with a maximum of Rs.12 lakh for general class. For BPL   it will be 20% with a maximum of Rs.18 lakh. Interest at 5% for female and 6% for male.",https://pmmodiyojana.in/mukhyamantri-yuva-udyami-yojana/,Madhya Pradesh
99,Mukhya Mantri Swarojgar Yojana,All,"Department of MSME, Madhya Pradesh","Scheme summary/key features
                                This scheme has been started to provide self-employment opportunities to the citizens of the state.
                                Under this scheme, loan will be provided for setting up self-employment. The loan will be provided for 7 years under this scheme.

                                Loans will be granted Rs.50,000 to Rs.10 lakh.
                                BPL SC, ST, OBC, women and differently abled candidates will be provided 30% margin money. Subject to maximum limit of Rs.2 lakh.
                                In addition, margin money assistance, subsidy, loan guarantee is also given to the beneficiaries.
Eligibility:
                                To apply under this scheme, the applicant must be a permanent resident of Madhya Pradesh.
                                Work area should be in Madhya Pradesh.
                                The educational qualification of the applicant under this scheme should be minimum 5th class.
                                The age of the applicant should be between 18 and 45 years.
                                The applicant should not be an income tax payer.
                                The applicant of any national bank, financial institution etc. should not be a defaulter.
                                Only one time can be availed under MP Mahamari Swarozgar Yojana.
                                A beneficiary of a government entrepreneur self-employment scheme cannot avail the benefit of this scheme.
Amount or percentage of subsidy 
                                Under this scheme, 15 percent margin money will be provided to general category people with a maximum of Rs.1 lakh
                                Project cost 30% for BPL, Scheduled Caste, Scheduled Tribe, Other Backward Classes, Women, Minorities and Disabled with a maximum limit of Rs 2 lakhs.

                                Exempted nomadic and semi-nomadic tribes will have 30 percent of the project cost with a maximum limit of Rs.3 lakh
                                Bhopal will be an additional 20% of the project cost for gas-affected family members, with a maximum limit of Rs. 1 lakh.",https://translate.google.com/translate?hl=en&sl=hi&u=https://pmmodiyojana.in/mp-mukhyamantri-swarojgar-yojana/&prev=search&pto=aue,Madhya Pradesh
100,Margin Money / Subsidy Scheme - Seed Money Scheme,All,"Directorate of industries
                                Maharashtra","Scheme summary/key features:
                                The objective of the scheme is to encourage unemployed person to take up self-employment ventures through industry, service and business, by providing soft loans to meet part of the margin money to avail institutional finance.
                                1. Project cost up to Rs. 25 lakhs for industry, service and business activity.
                                2. Seed Money assistance at 15 per cent of the project cost approved by financial institutions is offered. In case of projects costing up to Rs. 10 lakhs, the quantum of assistance ranges up to 15 per cent for General category and 20% for SC/ST and OBC/NT/VT/Handicapped up to 20 per cent.
                                3. Seed Money component up to 3.75 lakhs maximum.
                                4. Bank loan 75% of the project cost.
                                5. The rate of interest on seed money is 6% and if the borrower pays the repayment of instalment regularly and within scheduled time, then the borrower will get rebate of 3% in interest. So, he has to pay only 3% interest.
                                6. If the instalment is not repaid in time, it will attract 1% penal interest.
                                7. The repayment of loan starts after three years in four yearly instalments for industry cases. In other cases, repayment starts after six months of loan availment
Eligibility:

                                Local unemployed person or group of persons fulfilling:
                                •	Age group 18 to 50 years
                                •	Qualification: Standard VII pass
                                •	Domiciled in the state of Maharashtra for the last 15 years
Amount or percentage of subsidy 
                                90% loan for general group and 95% for special group will be available from public sector banks, Regional rural banks, IDBI. In urban areas, 15% margin money subsidy for general group and 25% for special group will be available through KVIC. In rural areas, the margin money subsidy will be 25% to 35% respectively. Special group include SC/ST/OBC/minority/woman/ex-servicemen/physically handicapped.","http://www.doingbusinessinmaharashtra
.org/DIC_schemes.aspx",Maharashtra
101,Margin Money / Subsidy Scheme - District Industries Centre Loan Scheme,All,"General Manager, District Industries Centre of respective district (District level)","Scheme summary/key features
                                The objective of the scheme is to provide financial assistance in the form of margin/seed money for the promotion of tiny industries in semi-urban and rural areas with a view to generate employment opportunities including self- employment.
                                I. Margin money assistance is admissible only to those units whose investment in plant & machinery does not exceed Rs. 2 lakh.
                                ii. All towns and rural areas having population of less than 1 lac are covered under the Scheme.
                                iii. The State Government’s rate of interest on this loan is 4 % and repayment is to be done within 7 years.
                                iv. This scheme is particularly useful for rural artisans
Eligibility:
                                All units falling within the purview of the Small-Scale Industries Board and Village Industries, handicrafts, handlooms, Silk & Coir Industries are covered under the Scheme.

                                Amount or percentage of subsidy
                                The extent of assistance is 20 % of the total investment or Rs. 40000/- whichever is less in case of entrepreneur belonging to general category and in case of entrepreneur belonging to scheduled caste & scheduled tribe, assistance up to 30 % of total fixed capital investment or up to maximum of Rs. 60000/- whichever is less is provided.","http://www.doingbusinessinmaharashtra.org/DIC_schemes.aspx
http://di.gov.in/",Maharashtra
102,Subsidy Schemes in Goa,All,Government of Goa,"Scheme summary/key features
                                There are various schemes issued by Government of Goa. Visit the link for details.",https://www.goa.gov.in/government/schemes/,Goa
103,U.P. Micro and Small Industries Technology Up-gradation Scheme,All,"Ministry of Industries, Govt. of Uttar Pradesh","Scheme summary/key features:
                                The objective of the scheme is development of   competitiveness   among the small-scale industries under the changed scenario due to economic globalization and worldwide competition. Under this scheme assistance is provided to micro and small enterprises for development and up gradation of technology
                                
Eligibility: All MSMEs in Uttar Pradesh

Amount or percentage of subsidy
                                Amount incurred for purchase and import of technology @ 50% subject to a maximum of 2.50 lacs.
                                • Amount incurred for purchase P/M for enhancement of capacity and quality improvement @ 50% subject to a maximum of 2.00 lacs
                                • Interest subsidy. @ 50% subject to a maximum of 0.50 lacs.
                                • Amount incurred for obtaining ISO/ISI certification @ 50% subject to a maximum of 2.00 lacs
                                • Amount incurred for consultancy world-wide competition @ 50% subject to a maximum of 0.50 lacs.",http://udyogbandhu.com/topics.aspx?mid=State%20Government%20Support,Uttar Pradesh
104,Marketing Development Assistance Scheme,All,"Directorate of Industries, Govt. of Uttar Pradesh","Scheme summary/key features:
                                To assist MSMEs in marketing sector for development, promotion and for better prospects of the products being manufactured, specially by micro and small industries/enterprises, the Govt. has provided institutional support in form of establishment of UPTPA (Uttar Pradesh Trade Promotion Authority) under Directorate of Industries, U.P and Export Promotion Bureau. The UPTPA has been given the responsibility to arrange, participate and coordinate in seminars/trade fairs/exhibitions, nationally as well as internationally to provide small entrepreneur a plate farm for development and promotion of market prospects for their product.
                                The UPTPA also provides marketing assistance under Marketing Development Assistance Scheme in which the entrepreneurs are assisted to attend/ participate in seminars /trade fairs all over the country by way of reimbursement of expenses incurred towards participation/stall charge, fair, etc.
Eligibility: Micro and Small enterprises in the state
Amount or percentage of subsidy:


Particulars
Eligibility
Prescribed fee
Details

A- Support for exporters at international level

i)   Foreign Fairs/Exhibition

                                            MSME Exporter reg. with EPB & concern DIC

                                        
NIL

                                            60% of Stall charges paid up-to max. of Rs. 100000/- for one fair/exhibition
                                            Air Fare 50% by economy class max. up to Rs. 50000/- per fair for one person.
                                        


 b) Publicity advt., printing of catalogue & development of website

                                            MSME Exporter reg. with EPB & concern DIC

                                        


                                            60% of total cost of Expenditure maximum up to Rs. 60000/- annually.

                                        



                                            c) Samples to foreign buyers

                                        

                                            MSME Exporter reg. with EPB & concern DIC

                                        


                                            75% of total expenses on air-freight courier for sending samples max. assistance up to Rs. 50000/- per year.

                                        


d)Facility for obtaining ISO 9001-2000/BIS 14000, Wool mark, Hall mark, HACCP & C-mark

                                            MSME Exporter reg. with EPB & concern DIC

                                        

50% of total expenses max. up to Rs. 75000/- per year


B- Subsidy on freight charges up to gate way port.



                                            a Export Cargo sent by ICD/CFS

                                        

                                            SSI Exporter reg. with EPB and concern DIC

                                        
Nil
25% of freight charges maximum up to Rs. 5000/- per container (20ft) is admissible to exporting units to send their goods by State ICD/CFS to the gateway port. This amount is sanctioned by the district users committee chaired by D.M. of the concerned district.



                                            b) Export Cargo sent by Air Cargo Complex in U.P. (Amausi, Lucknow and Babatpur, Varanasi)
                                        
SSI Exporter and Merchant Exporter with EPB and concern DIC

                                            Nil

                                        
20% of air freight charges on sending export cargo or Rs 50 per kg. (lower of two).



                                1.Price Preference@10% to MSEs of the state in comparison to MSEs of other states.
                                2.Price Preference@15% to MSEs of the state in comparison to Medium and Heavy enterprises of other states.
                                3.Price Preference@5% to MSEs of the state in comparison to Medium and Heavy enterprises /industries of states.
                                4.Price Preference@5% to Medium and Heavy enterprises/ of the state in comparison to Medium and Heavy enterprises/ industries of   other states.",http://udyogbandhu.com/topics.aspx?mid=State%20Government%20Support,Uttar Pradesh153
